lat,long,height,day,month,year,hour,minute,second,millis,pdop,speed_kmh,ori_x,ori_y,ori_z,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,lin_x,lin_y,lin_z,grav_x,grav_y,grav_z,temp,cal_sys,cal_gyro,cal_accel,cal_mag
47.957893,-1.488390,0.00,24,5,2025,15,29,20,600,1.1,0.07,359.94,-4.50,-14.88,0.00,-0.00,-0.00,-0.68,2.34,9.28,4.06,-14.00,10.38,0.11,-0.08,0.09,-0.77,2.51,9.44,31,0,3,1,0
47.957893,-1.488388,80.80,24,5,2025,15,29,20,700,1.1,0.07,359.94,-4.50,-14.88,-0.00,-0.00,0.00,-0.68,2.43,9.45,4.06,-13.25,12.38,0.09,-0.07,0.01,-0.77,2.51,9.44,31,0,3,1,0
47.957893,-1.488388,80.10,24,5,2025,15,29,20,800,1.1,0.11,359.94,-4.50,-14.88,0.00,0.00,-0.00,-0.80,2.56,9.62,3.69,-12.88,11.25,0.00,0.03,-0.06,-0.77,2.51,9.44,31,0,3,1,0
47.957886,-1.488387,80.10,24,5,2025,15,29,20,900,1.1,0.06,359.94,-4.50,-14.88,0.00,0.00,0.00,-0.84,2.57,9.55,3.69,-13.25,10.88,0.09,-0.07,-0.12,-0.77,2.51,9.44,31,0,3,1,0
47.957878,-1.488397,76.00,24,5,2025,15,29,21,100,1.1,0.06,359.94,-4.50,-14.88,0.00,0.00,0.00,-0.66,2.36,9.15,4.38,-14.00,12.06,0.11,-0.08,0.18,-0.77,2.51,9.44,31,0,3,1,0
47.957878,-1.488402,75.90,24,5,2025,15,29,21,200,1.1,0.07,359.94,-4.50,-14.88,-0.00,0.00,0.00,-0.83,2.61,9.59,3.25,-14.00,11.25,-0.05,0.09,0.14,-0.77,2.51,9.44,31,0,3,1,0
47.957878,-1.488402,75.90,24,5,2025,15,29,21,300,1.1,0.04,359.94,-4.50,-14.88,0.01,0.00,0.00,-0.76,2.52,9.30,4.06,-14.38,12.06,0.01,0.00,-0.14,-0.77,2.51,9.44,31,0,3,1,0
47.957870,-1.488403,75.40,24,5,2025,15,29,21,500,1.1,0.04,359.94,-4.50,-14.88,0.00,-0.00,-0.00,-0.78,2.56,9.47,3.25,-12.19,11.25,0.11,-0.07,-0.08,-0.77,2.51,9.44,31,0,3,1,0
47.957870,-1.488407,75.10,24,5,2025,15,29,21,600,1.1,0.04,359.94,-4.50,-14.88,-0.01,0.00,-0.00,-0.68,2.42,9.69,3.69,-14.00,12.06,0.09,-0.08,0.24,-0.77,2.51,9.44,31,0,3,1,0
47.957870,-1.488408,75.10,24,5,2025,15,29,21,700,1.1,0.06,359.94,-4.50,-14.88,-0.00,0.00,-0.00,-0.85,2.60,9.66,3.00,-13.56,11.25,-0.07,0.08,0.22,-0.77,2.51,9.44,31,0,3,1,0
47.957870,-1.488412,75.10,24,5,2025,15,29,21,800,1.1,0.04,359.94,-4.50,-14.88,0.00,0.00,0.00,-0.74,2.48,9.19,3.00,-13.56,10.88,0.03,-0.02,-0.25,-0.77,2.51,9.44,31,0,3,1,0
47.957870,-1.488415,73.80,24,5,2025,15,29,21,900,1.1,0.04,359.94,-4.50,-14.88,0.00,0.00,0.00,-0.65,2.50,9.37,3.69,-13.25,12.50,0.12,-0.01,-0.07,-0.77,2.51,9.44,31,0,3,1,0
47.957870,-1.488425,73.50,24,5,2025,15,29,22,200,1.5,0.04,359.94,-4.50,-14.88,-0.01,0.00,0.00,-0.66,2.42,9.59,3.69,-13.25,11.25,0.11,-0.08,0.15,-0.77,2.51,9.44,31,0,3,1,0
47.957870,-1.488425,73.20,24,5,2025,15,29,22,300,1.1,0.09,359.94,-4.50,-14.88,-0.00,0.00,0.00,-0.86,2.61,9.62,4.38,-13.25,11.69,0.08,-0.11,-0.31,-0.77,2.51,9.44,31,0,3,1,0
47.957863,-1.488427,73.20,24,5,2025,15,29,22,400,1.1,0.07,359.94,-4.50,-14.88,0.00,-0.00,0.00,-0.63,2.47,9.47,4.06,-13.25,11.69,0.13,-0.03,0.02,-0.77,2.51,9.44,31,0,3,1,0
47.957870,-1.488428,72.40,24,5,2025,15,29,22,500,1.1,0.07,359.94,-4.50,-14.88,0.00,0.00,-0.00,-0.63,2.41,9.38,4.38,-13.56,11.69,0.08,-0.17,0.17,-0.77,2.51,9.44,31,0,3,1,0
47.957863,-1.488430,71.90,24,5,2025,15,29,22,600,1.1,0.04,359.94,-4.50,-14.88,-0.00,0.00,0.00,-0.65,2.39,9.66,3.25,-12.56,11.25,-0.04,0.05,0.14,-0.77,2.51,9.44,31,0,3,1,0
47.957870,-1.488433,71.90,24,5,2025,15,29,22,800,1.5,0.09,359.94,-4.50,-14.88,0.01,-0.00,0.00,-0.69,2.43,9.02,3.25,-14.38,10.88,0.08,-0.07,-0.41,-0.77,2.51,9.44,31,0,3,1,0
